session_id,timestamp,account_id,source_identity,target_identity,attack_family,epsilon,similarity_before,similarity_after_attack,threshold_margin,accepted_after_attack,risk_score,risk_level,rule_hits,adv_file
faceauth_sess_001396,2026-06-28T23:20:52+09:00,acct_Ariel_Sharon,Colin_Powell,Ariel_Sharon,pgd,0.005,0.3996620774269104,0.7211132645606995,0.241451,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Colin_Powell_Colin_Powell_0134_to_Ariel_Sharon_Ariel_Sharon_0069_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001326,2026-06-28T22:37:42+09:00,acct_Tony_Blair,John_Ashcroft,Tony_Blair,pgd,0.005,0.3844653367996216,0.710065484046936,0.230403,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/John_Ashcroft_John_Ashcroft_0018_to_Tony_Blair_Tony_Blair_0104_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001307,2026-06-28T22:25:59+09:00,acct_Ariel_Sharon,Jean_Chretien,Ariel_Sharon,pgd,0.005,0.3959125876426697,0.7006635069847107,0.221001,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Jean_Chretien_Jean_Chretien_0040_to_Ariel_Sharon_Ariel_Sharon_0059_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000035,2026-06-28T09:21:35+09:00,acct_Tony_Blair,John_Ashcroft,Tony_Blair,pgd,0.005,0.47859877347946167,0.6967108249664307,0.217048,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0104_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001235,2026-06-28T21:41:35+09:00,acct_Tony_Blair,John_Ashcroft,Tony_Blair,pgd,0.005,0.47859877347946167,0.6967108249664307,0.217048,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0104_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000295,2026-06-28T12:01:55+09:00,acct_Jean_Chretien,Donald_Rumsfeld,Jean_Chretien,fgsm,0.005,0.4416871964931488,0.6960818767547607,0.216419,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/Donald_Rumsfeld_Donald_Rumsfeld_0036_to_Jean_Chretien_Jean_Chretien_0031_facenet_fgsm_eps0.005.png
faceauth_sess_000083,2026-06-28T09:51:11+09:00,acct_Gerhard_Schroeder,George_W_Bush,Gerhard_Schroeder,pgd,0.005,0.34020477533340454,0.6952624320983887,0.2156,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/George_W_Bush_George_W_Bush_0111_to_Gerhard_Schroeder_Gerhard_Schroeder_0024_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001283,2026-06-28T22:11:11+09:00,acct_Gerhard_Schroeder,George_W_Bush,Gerhard_Schroeder,pgd,0.005,0.34020477533340454,0.6952624320983887,0.2156,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/George_W_Bush_George_W_Bush_0111_to_Gerhard_Schroeder_Gerhard_Schroeder_0024_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001321,2026-06-28T22:34:37+09:00,acct_Donald_Rumsfeld,George_W_Bush,Donald_Rumsfeld,pgd,0.005,0.39432579278945923,0.6851307153701782,0.205468,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/George_W_Bush_George_W_Bush_0460_to_Donald_Rumsfeld_Donald_Rumsfeld_0037_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001354,2026-06-28T22:54:58+09:00,acct_George_W_Bush,Tony_Blair,George_W_Bush,pgd,0.005,0.4325396716594696,0.6771237254142761,0.197461,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Tony_Blair_Tony_Blair_0080_to_George_W_Bush_George_W_Bush_0080_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000039,2026-06-28T09:24:03+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,pgd,0.005,0.39858973026275635,0.6718388795852661,0.192176,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Tony_Blair_Tony_Blair_0043_to_Colin_Powell_Colin_Powell_0130_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001239,2026-06-28T21:44:03+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,pgd,0.005,0.39858973026275635,0.6718388795852661,0.192176,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Tony_Blair_Tony_Blair_0043_to_Colin_Powell_Colin_Powell_0130_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000257,2026-06-28T11:38:29+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,fgsm,0.005,0.4403509497642517,0.6612382531166077,0.181576,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/Tony_Blair_Tony_Blair_0104_to_Colin_Powell_Colin_Powell_0032_facenet_fgsm_eps0.005.png
faceauth_sess_001385,2026-06-28T23:14:05+09:00,acct_Donald_Rumsfeld,George_W_Bush,Donald_Rumsfeld,pgd,0.005,0.348843514919281,0.6571931838989258,0.177531,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/George_W_Bush_George_W_Bush_0026_to_Donald_Rumsfeld_Donald_Rumsfeld_0006_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001374,2026-06-28T23:07:18+09:00,acct_Tony_Blair,Colin_Powell,Tony_Blair,pgd,0.005,0.3938238024711609,0.6538076996803284,0.174145,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Colin_Powell_Colin_Powell_0081_to_Tony_Blair_Tony_Blair_0102_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000235,2026-06-28T11:24:55+09:00,acct_Tony_Blair,John_Ashcroft,Tony_Blair,fgsm,0.005,0.47859877347946167,0.65168297290802,0.172021,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0104_facenet_fgsm_eps0.005.png
faceauth_sess_001372,2026-06-28T23:06:04+09:00,acct_Gerhard_Schroeder,John_Ashcroft,Gerhard_Schroeder,pgd,0.005,0.43433722853660583,0.6504201292991638,0.170758,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/John_Ashcroft_John_Ashcroft_0030_to_Gerhard_Schroeder_Gerhard_Schroeder_0063_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001324,2026-06-28T22:36:28+09:00,acct_Donald_Rumsfeld,Jean_Chretien,Donald_Rumsfeld,pgd,0.005,0.3827389180660248,0.6460809111595154,0.166418,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Jean_Chretien_Jean_Chretien_0044_to_Donald_Rumsfeld_Donald_Rumsfeld_0036_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001369,2026-06-28T23:04:13+09:00,acct_Tony_Blair,John_Ashcroft,Tony_Blair,pgd,0.005,0.43070054054260254,0.6447308659553528,0.165068,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/John_Ashcroft_John_Ashcroft_0004_to_Tony_Blair_Tony_Blair_0020_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000283,2026-06-28T11:54:31+09:00,acct_Gerhard_Schroeder,George_W_Bush,Gerhard_Schroeder,fgsm,0.005,0.34020477533340454,0.6429579257965088,0.163295,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/George_W_Bush_George_W_Bush_0111_to_Gerhard_Schroeder_Gerhard_Schroeder_0024_facenet_fgsm_eps0.005.png
faceauth_sess_000028,2026-06-28T09:17:16+09:00,acct_Hugo_Chavez,Gerhard_Schroeder,Hugo_Chavez,pgd,0.005,0.30851829051971436,0.6386148929595947,0.158952,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Gerhard_Schroeder_Gerhard_Schroeder_0075_to_Hugo_Chavez_Hugo_Chavez_0046_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001228,2026-06-28T21:37:16+09:00,acct_Hugo_Chavez,Gerhard_Schroeder,Hugo_Chavez,pgd,0.005,0.30851829051971436,0.6386148929595947,0.158952,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Gerhard_Schroeder_Gerhard_Schroeder_0075_to_Hugo_Chavez_Hugo_Chavez_0046_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000041,2026-06-28T09:25:17+09:00,acct_Ariel_Sharon,Jean_Chretien,Ariel_Sharon,pgd,0.005,0.39789918065071106,0.6319502592086792,0.152288,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Jean_Chretien_Jean_Chretien_0036_to_Ariel_Sharon_Ariel_Sharon_0042_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001241,2026-06-28T21:45:17+09:00,acct_Ariel_Sharon,Jean_Chretien,Ariel_Sharon,pgd,0.005,0.39789918065071106,0.6319502592086792,0.152288,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Jean_Chretien_Jean_Chretien_0036_to_Ariel_Sharon_Ariel_Sharon_0042_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000204,2026-06-28T11:05:48+09:00,acct_George_W_Bush,Junichiro_Koizumi,George_W_Bush,fgsm,0.005,0.31008633971214294,0.6278553009033203,0.148193,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_fgsm_eps0.005.png
faceauth_sess_000239,2026-06-28T11:27:23+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,fgsm,0.005,0.39858973026275635,0.6205089688301086,0.140847,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/Tony_Blair_Tony_Blair_0043_to_Colin_Powell_Colin_Powell_0130_facenet_fgsm_eps0.005.png
faceauth_sess_000032,2026-06-28T09:19:44+09:00,acct_Gerhard_Schroeder,Colin_Powell,Gerhard_Schroeder,pgd,0.005,0.3647959232330322,0.6044436097145081,0.124781,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Colin_Powell_Colin_Powell_0185_to_Gerhard_Schroeder_Gerhard_Schroeder_0084_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001232,2026-06-28T21:39:44+09:00,acct_Gerhard_Schroeder,Colin_Powell,Gerhard_Schroeder,pgd,0.005,0.3647959232330322,0.6044436097145081,0.124781,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Colin_Powell_Colin_Powell_0185_to_Gerhard_Schroeder_Gerhard_Schroeder_0084_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000067,2026-06-28T09:41:19+09:00,acct_Tony_Blair,Colin_Powell,Tony_Blair,pgd,0.005,0.3364250659942627,0.6036312580108643,0.123969,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Colin_Powell_Colin_Powell_0179_to_Tony_Blair_Tony_Blair_0027_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001267,2026-06-28T22:01:19+09:00,acct_Tony_Blair,Colin_Powell,Tony_Blair,pgd,0.005,0.3364250659942627,0.6036312580108643,0.123969,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Colin_Powell_Colin_Powell_0179_to_Tony_Blair_Tony_Blair_0027_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001399,2026-06-28T23:22:43+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,pgd,0.005,0.3155478835105896,0.6018944978713989,0.122232,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Tony_Blair_Tony_Blair_0138_to_Colin_Powell_Colin_Powell_0105_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001325,2026-06-28T22:37:05+09:00,acct_John_Ashcroft,Gerhard_Schroeder,John_Ashcroft,pgd,0.005,0.3199794888496399,0.6016882061958313,0.122026,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Gerhard_Schroeder_Gerhard_Schroeder_0063_to_John_Ashcroft_John_Ashcroft_0004_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000047,2026-06-28T09:28:59+09:00,acct_Junichiro_Koizumi,Tony_Blair,Junichiro_Koizumi,pgd,0.005,0.3629220128059387,0.5978243350982666,0.118162,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Tony_Blair_Tony_Blair_0007_to_Junichiro_Koizumi_Junichiro_Koizumi_0049_facenet_eps0.005_a0.001_s10.png
faceauth_sess_001247,2026-06-28T21:48:59+09:00,acct_Junichiro_Koizumi,Tony_Blair,Junichiro_Koizumi,pgd,0.005,0.3629220128059387,0.5978243350982666,0.118162,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Tony_Blair_Tony_Blair_0007_to_Junichiro_Koizumi_Junichiro_Koizumi_0049_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000241,2026-06-28T11:28:37+09:00,acct_Ariel_Sharon,Jean_Chretien,Ariel_Sharon,fgsm,0.005,0.39789918065071106,0.5835853815078735,0.103923,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/Jean_Chretien_Jean_Chretien_0036_to_Ariel_Sharon_Ariel_Sharon_0042_facenet_fgsm_eps0.005.png
faceauth_sess_000228,2026-06-28T11:20:36+09:00,acct_Hugo_Chavez,Gerhard_Schroeder,Hugo_Chavez,fgsm,0.005,0.30851829051971436,0.5822639465332031,0.102601,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/Gerhard_Schroeder_Gerhard_Schroeder_0075_to_Hugo_Chavez_Hugo_Chavez_0046_facenet_fgsm_eps0.005.png
faceauth_sess_001349,2026-06-28T22:51:53+09:00,acct_Colin_Powell,Ariel_Sharon,Colin_Powell,pgd,0.005,0.3408327102661133,0.5653263330459595,0.085664,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_adv_training/images/Ariel_Sharon_Ariel_Sharon_0043_to_Colin_Powell_Colin_Powell_0084_facenet_eps0.005_a0.001_s10.png
faceauth_sess_000232,2026-06-28T11:23:04+09:00,acct_Gerhard_Schroeder,Colin_Powell,Gerhard_Schroeder,fgsm,0.005,0.3647959232330322,0.5598517656326294,0.080189,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/Colin_Powell_Colin_Powell_0185_to_Gerhard_Schroeder_Gerhard_Schroeder_0084_facenet_fgsm_eps0.005.png
faceauth_sess_000247,2026-06-28T11:32:19+09:00,acct_Junichiro_Koizumi,Tony_Blair,Junichiro_Koizumi,fgsm,0.005,0.3629220128059387,0.5582728385925293,0.07861,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/fgsm/images/Tony_Blair_Tony_Blair_0007_to_Junichiro_Koizumi_Junichiro_Koizumi_0049_facenet_fgsm_eps0.005.png
faceauth_sess_000002,2026-06-28T09:01:14+09:00,acct_Colin_Powell,Tony_Blair,Colin_Powell,pgd,0.005,0.32303187251091003,0.5578231811523438,0.078161,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,outputs/verification_attacks_facenet/pgd_png/images/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10.png
